quote,year,observations,avg_rate,start_rate,end_rate,annual_change_pct,volatility_pct,min_rate,max_rate
EUR,2015,365,0.9015732876712329,0.82245,0.9168,11.471821995258068,0.42983869243226647,0.82245,0.94828
EUR,2016,366,0.9041135519125683,0.91708,0.95118,3.7183233741876487,0.3057414786218166,0.86959,0.96151
EUR,2017,365,0.8875149589041097,0.95122,0.83662,-12.047686129391721,0.26368429437228386,0.83163,0.95896
EUR,2018,365,0.8476795342465754,0.83641,0.87416,4.513336760679576,0.26267759309874783,0.80154,0.88882
EUR,2019,365,0.8935849863013698,0.87425,0.8925,2.087503574492411,0.18488259117202913,0.86808,0.91711
EUR,2020,366,0.8781197267759563,0.89219,0.81571,-8.572165121778996,0.2759434997987951,0.81571,0.93263
EUR,2021,365,0.8459805205479453,0.81566,0.88406,8.385847044111493,0.18534777984730275,0.81353,0.89142
EUR,2022,365,0.951043205479452,0.88409,0.93827,6.128335350473368,0.3607659271729829,0.87403,1.0412
EUR,2023,365,0.9247207123287671,0.93827,0.90369,-3.685506304155528,0.2594835924299204,0.88981,0.95308
EUR,2024,366,0.924025655737705,0.90396,0.95958,6.152927120669061,0.1990326172533492,0.89522,0.96144
EUR,2025,365,0.8864236438356164,0.9603,0.85088,-11.394355930438415,0.2826130614602262,0.8447,0.97618
EUR,2026,245,0.8599851836734694,0.85105,0.86253,1.3489219199811942,0.20550128214843452,0.83557,0.87965
GBP,2015,365,0.6542632328767124,0.64224,0.67439,5.005916791230702,0.3121948547586598,0.63099,0.68282
GBP,2016,366,0.7404295901639344,0.67439,0.81405,20.709085247408776,0.5004732896351947,0.67439,0.82157
GBP,2017,365,0.7771798356164383,0.81396,0.74231,-8.802643864563365,0.2949687561035932,0.7386,0.8269
GBP,2018,365,0.750102493150685,0.74211,0.78685,6.0287558448208545,0.29323450199236867,0.69859,0.79626
GBP,2019,365,0.7841014520547944,0.78605,0.7614,-3.1359328287004717,0.29820279889993123,0.74897,0.82996
GBP,2020,366,0.7803016393442622,0.76068,0.73493,-3.385129095020256,0.4213921667035108,0.73493,0.85991
